Complaint Id,Tax ID,CCRB Substantiated Officer Disposition,Board Discipline Recommendation,Non-APU NYPD Penalty Report Date,Officer is_APU,APU CCRB Trial Recommended Penalty,APU Trial Commissioner Recommended Penalty,APU Plea Agreed Penalty,APU Case Status,APU Closing Date,NYPD Officer Penalty
200003842,899574,Substantiated (Charges),,01/28/2003,No,,,,,,
200003893,901675,Substantiated (Charges),,,No,,,,,,
200003920,913324,Substantiated (Charges),,07/28/2003,No,,,,,,
200003961,897743,Substantiated (Command Discipline),,,No,,,,,,
200003961,910189,Substantiated (Command Discipline),,,No,,,,,,
200004106,894162,Substantiated (Command Discipline),,,No,,,,,,
200004198,877422,Substantiated (Charges),,,No,,,,,,
200004222,899949,Substantiated (Charges),,,No,,,,,,
200004225,889934,Substantiated (Charges),,,No,,,,,,
200004270,885375,Substantiated (Charges),,,No,,,,,,
200004341,879397,Substantiated (Command Discipline),,,No,,,,,,
200004344,899930,Substantiated (Charges),,,No,,,,,,
200004469,885956,Substantiated (Charges),,,No,,,,,,
200004469,897209,Substantiated (Charges),,,No,,,,,,
200004492,885260,Substantiated (Charges),,,No,,,,,,
200004614,888313,Substantiated (Charges),,,No,,,,,,
200004614,889408,Substantiated (Charges),,,No,,,,,,
200004729,889296,Substantiated (Charges),,02/28/2003,No,,,,,,Vacation: 10 days
200004789,892400,Substantiated (Charges),,,No,,,,,,
200004789,901366,Substantiated (Charges),,,No,,,,,,
200004809,906542,Substantiated (Command Discipline),,,No,,,,,,
200004811,888686,Substantiated (Charges),,,No,,,,,,
200004833,883447,Substantiated (Charges),,07/28/2003,No,,,,,,
200004838,893551,Substantiated (Instructions),,,No,,,,,,
200004893,897074,Substantiated (Instructions),,11/28/2003,No,,,,,,
200004999,904658,Substantiated (Charges),,06/28/2003,No,,,,,,
200005177,884691,Substantiated (Charges),,02/28/2003,No,,,,,,
200005253,883441,Substantiated (Charges),,,No,,,,,,
200005408,911467,Substantiated (Charges),,,No,,,,,,
200005518,898626,Substantiated (Instructions),,,No,,,,,,
200005571,919468,Substantiated (Charges),,,No,,,,,,
200005582,898337,Substantiated (Charges),,,No,,,,,,
200005582,903473,Substantiated (Charges),,,No,,,,,,
200005630,917146,Substantiated (Charges),,06/28/2002,No,,,,,,Vacation: 8 days
200005691,899321,Substantiated (Command Discipline),,,No,,,,,,
200005751,895675,Substantiated (Charges),,02/28/2003,No,,,,,,
200005751,913411,Substantiated (Charges),,02/28/2003,No,,,,,,
200005820,897328,Substantiated (Charges),,,No,,,,,,
200005908,898555,Substantiated (Command Discipline),,,No,,,,,,
200005920,896483,Substantiated (Charges),,10/28/2003,No,,,,,,Vacation: 10 days
200005942,897209,Substantiated (Command Discipline),,,No,,,,,,
200005985,879352,Substantiated (Command Discipline),,,No,,,,,,
200005985,883558,Substantiated (Command Discipline),,,No,,,,,,
200006144,920682,Substantiated (Command Discipline),,,No,,,,,,
200006144,922064,Substantiated (Command Discipline),,,No,,,,,,
200006192,896942,Substantiated (Charges),,01/28/2003,No,,,,,,Vacation: 30 days
200006333,889120,Substantiated (Charges),,,No,,,,,,
200006333,915328,Substantiated (Charges),,,No,,,,,,
200006386,901639,Substantiated (Charges),,11/28/2003,No,,,,,,
200006463,882000,Substantiated (Charges),,,No,,,,,,
200006463,891153,Substantiated (Charges),,,No,,,,,,
200006463,912927,Substantiated (Charges),,,No,,,,,,
200006479,913928,Substantiated (Charges),,04/28/2003,No,,,,,,
200006527,906270,Substantiated (Command Discipline),,,No,,,,,,
200006530,905719,Substantiated (Charges),,,No,,,,,,
200006530,906472,Substantiated (Charges),,,No,,,,,,
200006530,915461,Substantiated (Charges),,,No,,,,,,
200006604,913338,Substantiated (Instructions),,,No,,,,,,
200006606,900839,Substantiated (Charges),,12/28/2003,No,,,,,,No penalty
200006672,891088,Substantiated (Charges),,,No,,,,,,
200006687,900004,Substantiated (Charges),,,No,,,,,,
200006722,886835,Substantiated (Instructions),,03/28/2002,No,,,,,,Instructions
200006722,909586,Substantiated (Instructions),,06/28/2003,No,,,,,,
200007001,907481,Substantiated (Charges),,06/28/2003,No,,,,,,Vacation: 25 days
200007022,894329,Substantiated (Command Discipline),,,No,,,,,,
200007054,899097,Substantiated (Charges),,,No,,,,,,
200007054,919036,Substantiated (Charges),,,No,,,,,,
200007068,885326,Substantiated (Charges),,04/28/2003,No,,,,,,
200007068,914100,Substantiated (Charges),,03/28/2003,No,,,,,,
200007068,914119,Substantiated (Charges),,04/28/2003,No,,,,,,
200007068,917046,Substantiated (Charges),,04/28/2003,No,,,,,,
200007068,920244,Substantiated (Charges),,04/28/2003,No,,,,,,
200007099,908249,Substantiated (Charges),,,No,,,,,,
200007136,898298,Substantiated (Charges),,03/28/2003,No,,,,,,
200007217,894264,Substantiated (Charges),,02/28/2004,No,,,,,,Vacation: 10 days
200007217,906205,Substantiated (Charges),,02/28/2004,No,,,,,,Vacation: 10 days
200007217,913980,Substantiated (Charges),,02/28/2004,No,,,,,,Vacation: 10 days
200007269,909436,Substantiated (Charges),,01/28/2004,No,,,,,,Vacation: 30 days
200007297,919367,Substantiated (Charges),,02/28/2003,No,,,,,,Vacation: 20 days
200007314,883254,Substantiated (Command Discipline),,,No,,,,,,
200007314,904063,Substantiated (Command Discipline),,,No,,,,,,
200007316,894648,Substantiated (Charges),,,No,,,,,,
200007316,900156,Substantiated (Charges),,,No,,,,,,
200007329,904661,Substantiated (Charges),,,No,,,,,,
200007329,920099,Substantiated (Charges),,,No,,,,,,
200007339,887423,Substantiated (Command Discipline),,,No,,,,,,
200007367,875364,Substantiated (Charges),,,No,,,,,,
200007440,900320,Substantiated (Charges),,04/28/2003,No,,,,,,W&A (Verbally)
200007483,895914,Substantiated (Charges),,03/28/2004,No,,,,,,Suspension: 45 days
200007558,914723,Substantiated (Charges),,,No,,,,,,
200007558,914737,Substantiated (Charges),,,No,,,,,,
200007608,918341,Substantiated (Charges),,,No,,,,,,
200007615,922236,Substantiated (Charges),,,No,,,,,,
200007675,878782,Substantiated (Command Discipline),,,No,,,,,,
200007675,879871,Substantiated (Command Discipline),,,No,,,,,,
200007675,900806,Substantiated (Command Discipline),,,No,,,,,,
200007726,886844,Substantiated (Charges),,,No,,,,,,
200007761,899338,Substantiated (Charges),,,No,,,,,,
200007872,882102,Substantiated (Command Discipline),,11/28/2003,No,,,,,,W&A (Written)
200007879,916348,Substantiated (Charges),,,No,,,,,,
200007886,904336,Substantiated (Charges),,,No,,,,,,
200007886,906579,Substantiated (Charges),,,No,,,,,,
200007914,878376,Substantiated (Command Discipline),,,No,,,,,,
200008020,905287,Substantiated (Command Discipline),,09/28/2003,No,,,,,,Instructions
200008040,892278,Substantiated (Charges),,07/28/2003,No,,,,,,Instructions
200008040,898150,Substantiated (Charges),,07/28/2003,No,,,,,,Instructions
200008074,921600,Substantiated (Charges),,,No,,,,,,
200008075,895466,Substantiated (Instructions),,,No,,,,,,
200008160,918254,Substantiated (Charges),,,No,,,,,,
200008180,899302,Substantiated (Charges),,03/28/2003,No,,,,,,
200008315,918248,Substantiated (Charges),,04/28/2003,No,,,,,,Instructions
200008401,899745,Substantiated (Charges),,,No,,,,,,
200008401,922548,Substantiated (Charges),,,No,,,,,,
200008438,916968,Substantiated (Command Discipline),,,No,,,,,,
200008519,889316,Substantiated (Charges),,03/28/2003,No,,,,,,
200008543,883827,Substantiated (Charges),,09/28/2003,No,,,,,,
200008543,913298,Substantiated (Charges),,09/28/2003,No,,,,,,Vacation: 30 days
200008631,887240,Substantiated (Charges),,08/28/2003,No,,,,,,
200008637,897220,Substantiated (Charges),,,No,,,,,,
200008656,904087,Substantiated (Command Discipline),,,No,,,,,,
200008665,893823,Substantiated (Command Discipline),,12/28/2002,No,,,,,,Instructions
200008665,899618,Substantiated (Command Discipline),,06/28/2003,No,,,,,,Command Discipline - B
200008712,913737,Substantiated (Charges),,05/28/2004,No,,,,,,Instructions
200008752,894196,Substantiated (Charges),,,No,,,,,,
200008759,901127,Substantiated (Charges),,,No,,,,,,
200008769,920844,Substantiated (Command Discipline),,02/28/2003,No,,,,,,Command Discipline - A
200008769,920892,Substantiated (Command Discipline),,02/28/2003,No,,,,,,Command Discipline - A
200008810,877148,Substantiated (Charges),,,No,,,,,,
200008810,899281,Substantiated (Charges),,,No,,,,,,
200008810,900004,Substantiated (Charges),,,No,,,,,,
200008906,920419,Substantiated (Command Discipline),,,No,,,,,,
200008906,920686,Substantiated (Command Discipline),,,No,,,,,,
200008986,917653,Substantiated (Charges),,,No,,,,,,
200008986,920807,Substantiated (Charges),,,No,,,,,,
200100045,919270,Substantiated (Instructions),,,No,,,,,,
200100162,880454,Substantiated (Charges),,09/28/2003,No,,,,,,Vacation: 10 days
200100174,916078,Substantiated (Instructions),,,No,,,,,,
200100194,891898,Substantiated (Command Discipline),,,No,,,,,,
200100194,917417,Substantiated (Command Discipline),,,No,,,,,,
200100194,919209,Substantiated (Command Discipline),,,No,,,,,,
200100237,923932,Substantiated (Charges),,,No,,,,,,
200100301,912931,Substantiated (Charges),,02/28/2004,No,,,,,,Vacation: 20 days
200100324,886835,Substantiated (Charges),,,No,,,,,,
200100351,890904,Substantiated (Charges),,,No,,,,,,
200100446,892982,Substantiated (Charges),,,No,,,,,,
200100452,897534,Substantiated (Charges),,09/28/2003,No,,,,,,
200100452,899534,Substantiated (Charges),,09/28/2003,No,,,,,,
200100541,900722,Substantiated (Charges),,06/28/2003,No,,,,,,Vacation: 5 days
200100569,918086,Substantiated (Charges),,09/28/2003,No,,,,,,
200100595,899393,Substantiated (Charges),,,No,,,,,,
200100693,885514,Substantiated (Charges),,,No,,,,,,
200100695,878424,Substantiated (Charges),,,No,,,,,,
200100711,915291,Substantiated (Charges),,06/28/2003,No,,,,,,Vacation: 5 days
200100716,892920,Substantiated (Charges),,03/28/2003,No,,,,,,Vacation: 20 days
200100741,895957,Substantiated (Charges),,,No,,,,,,
200100745,874837,Substantiated (Charges),,03/28/2003,No,,,,,,
200100755,916938,Substantiated (Charges),,,No,,,,,,
200100784,883692,Substantiated (Charges),,03/28/2003,No,,,,,,
200100784,897767,Substantiated (Charges),,03/28/2003,No,,,,,,
200100793,907167,Substantiated (Command Discipline),,,No,,,,,,
200100793,913411,Substantiated (Charges),,,No,,,,,,
200100815,896649,Substantiated (Charges),,06/28/2003,No,,,,,,
200100815,899656,Substantiated (Charges),,06/28/2003,No,,,,,,
200100854,886823,Substantiated (Command Discipline),,09/28/2003,No,,,,,,
200100862,901082,Substantiated (Charges),,,No,,,,,,
200100880,923233,Substantiated (Command Discipline),,,No,,,,,,
200100950,893930,Substantiated (Charges),,,No,,,,,,
200100950,900333,Substantiated (Charges),,09/28/2003,No,,,,,,
200100963,890751,Substantiated (Charges),,,No,,,,,,
200101019,918671,Substantiated (Instructions),,,No,,,,,,
200101024,918878,Substantiated (Charges),,,No,,,,,,
200101031,895578,Substantiated (Command Discipline),,,No,,,,,,
200101031,910208,Substantiated (Command Discipline),,,No,,,,,,
200101050,903342,Substantiated (Charges),,09/28/2003,No,,,,,,Command Discipline - B
200101057,888545,Substantiated (Charges),,,No,,,,,,
200101092,879733,Substantiated (Charges),,06/28/2003,No,,,,,,
200101092,889951,Substantiated (Charges),,06/28/2003,No,,,,,,Instructions
200101171,885947,Substantiated (Command Discipline),,,No,,,,,,
200101203,894026,Substantiated (Charges),,01/28/2003,No,,,,,,
200101204,901846,Substantiated (Command Discipline),,,No,,,,,,
200101221,903483,Substantiated (Charges),,02/28/2006,No,,,,,,Instructions
200101224,897397,Substantiated (Charges),,,No,,,,,,
200101257,883076,Substantiated (Command Discipline),,,No,,,,,,
200101327,882772,Substantiated (Charges),,,No,,,,,,
200101425,883588,Substantiated (Charges),,04/28/2004,No,,,,,,
200101425,908940,Substantiated (Charges),,06/28/2003,No,,,,,,
200101464,898967,Substantiated (Command Discipline),,,No,,,,,,
200101490,880757,Substantiated (Charges),,07/28/2003,No,,,,,,Vacation: 10 days
200101490,899768,Substantiated (Charges),,07/28/2003,No,,,,,,Vacation: 15 days
200101504,888918,Substantiated (Charges),,,No,,,,,,
200101680,918921,Substantiated (Charges),,09/28/2003,No,,,,,,
200101696,916748,Substantiated (Command Discipline),,01/28/2004,No,,,,,,Command Discipline - A
200101755,903125,Substantiated (Charges),,,No,,,,,,
200101758,888113,Substantiated (Command Discipline),,05/28/2004,No,,,,,,No penalty
200101759,890339,Substantiated (Charges),,10/28/2003,No,,,,,,
200101759,901042,Substantiated (Charges),,10/28/2003,No,,,,,,
200101764,892910,Substantiated (Charges),,,No,,,,,,
200101764,901746,Substantiated (Charges),,,No,,,,,,
200101764,917778,Substantiated (Charges),,,No,,,,,,
200101789,879965,Substantiated (Instructions),,,No,,,,,,
200101798,891781,Substantiated (Charges),,,No,,,,,,
200101798,891958,Substantiated (Charges),,,No,,,,,,
200101893,912704,Substantiated (Charges),,,No,,,,,,
200101947,915671,Substantiated (Charges),,11/28/2003,No,,,,,,Vacation: 15 days
200101971,894625,Substantiated (Charges),,,No,,,,,,
200102054,898201,Substantiated (Instructions),,12/28/2003,No,,,,,,No penalty
200102064,916165,Substantiated (Instructions),,,No,,,,,,
200102064,916602,Substantiated (Instructions),,,No,,,,,,
200102070,924712,Substantiated (Charges),,,No,,,,,,
200102083,907679,Substantiated (Instructions),,07/28/2003,No,,,,,,
200102139,909318,Substantiated (Charges),,,No,,,,,,
200102148,898632,Substantiated (Charges),,,No,,,,,,
200102148,899469,Substantiated (Charges),,,No,,,,,,
200102218,890526,Substantiated (Charges),,09/28/2003,No,,,,,,
200102269,895343,Substantiated (Charges),,,No,,,,,,
200102283,909436,Substantiated (Charges),,01/28/2004,No,,,,,,No penalty
200102296,892278,Substantiated (Charges),,07/28/2003,No,,,,,,
200102296,898150,Substantiated (Charges),,07/28/2003,No,,,,,,
200102340,895015,Substantiated (Charges),,08/28/2003,No,,,,,,Vacation: 30 days
200102357,885025,Substantiated (Charges),,,No,,,,,,
200102357,885520,Substantiated (Charges),,,No,,,,,,
200102401,902212,Substantiated (Charges),,09/28/2003,No,,,,,,Vacation: 12 days
200102422,923487,Substantiated (Charges),,01/28/2003,No,,,,,,Vacation: 10 days
200102592,884418,Substantiated (Charges),,09/28/2003,No,,,,,,
200102592,913298,Substantiated (Charges),,09/28/2003,No,,,,,,
200102661,923824,Substantiated (Charges),,,No,,,,,,
200102716,920645,Substantiated (Command Discipline),,07/28/2003,No,,,,,,
200102814,895859,Substantiated (Charges),,,No,,,,,,
200102821,894405,Substantiated (Charges),,08/28/2003,No,,,,,,
200102850,919472,Substantiated (Command Discipline),,06/28/2003,No,,,,,,
200102855,897606,Substantiated (Charges),,04/28/2003,No,,,,,,
200102857,905288,Substantiated (Charges),,05/28/2003,No,,,,,,
200102857,915477,Substantiated (Charges),,05/28/2003,No,,,,,,
200102907,913298,Substantiated (Charges),,09/28/2003,No,,,,,,Vacation: 30 days
200102934,901793,Substantiated (Instructions),,,No,,,,,,
200102954,921194,Substantiated (Instructions),,,No,,,,,,
200102975,902927,Substantiated (Command Discipline),,,No,,,,,,
200103040,922293,Substantiated (Instructions),,,No,,,,,,
200103085,899930,Substantiated (Charges),,08/28/2003,No,,,,,,Vacation: 20 days
200103085,903158,Substantiated (Charges),,08/28/2003,No,,,,,,Vacation: 20 days
200103087,922218,Substantiated (Charges),,,No,,,,,,
200103087,924278,Substantiated (Charges),,07/28/2004,No,,,,,,No penalty
200103249,888958,Substantiated (Charges),,05/28/2003,No,,,,,,
200103336,903265,Substantiated (Charges),,03/28/2003,No,,,,,,Command Discipline - A
200103340,917865,Substantiated (Command Discipline),,,No,,,,,,
200103340,919026,Substantiated (Command Discipline),,,No,,,,,,
200103340,920944,Substantiated (Command Discipline),,,No,,,,,,
200103371,891554,Substantiated (Charges),,12/28/2003,No,,,,,,Vacation: 5 days
200103394,902767,Substantiated (Command Discipline),,,No,,,,,,
200103398,879062,Substantiated (Command Discipline),,07/28/2003,No,,,,,,Vacation: 5 days
200103436,877568,Substantiated (Instructions),,,No,,,,,,
200103492,907398,Substantiated (Charges),,04/28/2003,No,,,,,,Vacation: 10 days
200103501,903483,Substantiated (Command Discipline),,02/28/2006,No,,,,,,Instructions
200103530,894235,Substantiated (Charges),,07/28/2003,No,,,,,,
200103530,915421,Substantiated (Charges),,07/28/2003,No,,,,,,
200103605,914771,Substantiated (Charges),,02/28/2003,No,,,,,,
200103714,899618,Substantiated (Command Discipline),,06/28/2003,No,,,,,,Command Discipline - B
200103746,905490,Substantiated (Instructions),,,No,,,,,,
200103750,904971,Substantiated (Charges),,05/28/2003,No,,,,,,Vacation: 15 days
200103830,899135,Substantiated (Charges),,,No,,,,,,
200103830,903857,Substantiated (Charges),,,No,,,,,,
200103833,919104,Substantiated (Charges),,06/28/2003,No,,,,,,Command Discipline - B
200103838,903857,Substantiated (Command Discipline),,07/28/2003,No,,,,,,Vacation: 15 days
200103971,879075,Substantiated (Charges),,,No,,,,,,
200103989,882299,Substantiated (Charges),,04/28/2003,No,,,,,,Command Discipline - A
200103989,895977,Substantiated (Charges),,04/28/2003,No,,,,,,Command Discipline - A
200104018,899886,Substantiated (Command Discipline),,09/28/2003,No,,,,,,
200104018,913498,Substantiated (Charges),,09/28/2003,No,,,,,,
200104039,913353,Substantiated (Command Discipline),,01/28/2003,No,,,,,,
200104084,886092,Substantiated (Charges),,05/28/2004,No,,,,,,No penalty
200104161,902143,Substantiated (Command Discipline),,08/28/2003,No,,,,,,Vacation: 30 days
200104181,890614,Substantiated (Charges),,08/28/2003,No,,,,,,
200104181,914043,Substantiated (Charges),,08/28/2003,No,,,,,,No penalty
200104292,924364,Substantiated (Charges),,,No,,,,,,
200104371,900823,Substantiated (Charges),,02/28/2004,No,,,,,,Vacation: 10 days
200104371,902827,Substantiated (Charges),,02/28/2004,No,,,,,,Vacation: 10 days
200104424,902083,Substantiated (Instructions),,,No,,,,,,
200104448,913980,Substantiated (Charges),,02/28/2004,No,,,,,,Vacation: 10 days
200104448,914145,Substantiated (Charges),,08/28/2004,No,,,,,,No penalty
200104455,904088,Substantiated (Instructions),,,No,,,,,,
200104456,893928,Substantiated (Command Discipline),,,No,,,,,,
200104507,899988,Substantiated (Charges),,10/28/2003,No,,,,,,
200104507,903857,Substantiated (Charges),,07/28/2003,No,,,,,,Vacation: 15 days
200104702,898650,Substantiated (Charges),,07/28/2003,No,,,,,,
200104702,901152,Substantiated (Charges),,07/28/2003,No,,,,,,
200104706,907714,Substantiated (Charges),,06/28/2003,No,,,,,,Vacation: 10 days
200104756,878780,Substantiated (Charges),,09/28/2003,No,,,,,,
200104756,904067,Substantiated (Charges),,09/28/2003,No,,,,,,Vacation: 5 days
200104756,904352,Substantiated (Charges),,09/28/2003,No,,,,,,
200104766,898057,Substantiated (Command Discipline),,11/28/2004,No,,,,,,No penalty
200104993,924497,Substantiated (Command Discipline),,01/28/2003,No,,,,,,Command Discipline - A
200105039,893785,Substantiated (Command Discipline),,01/28/2004,No,,,,,,W&A (Verbally)
200105076,908236,Substantiated (Charges),,05/28/2003,No,,,,,,
200105076,911779,Substantiated (Charges),,09/28/2003,No,,,,,,
200105076,911801,Substantiated (Charges),,09/28/2003,No,,,,,,
200105083,882305,Substantiated (Charges),,05/28/2003,No,,,,,,Vacation: 10 days
200105084,884418,Substantiated (Charges),,09/28/2003,No,,,,,,
200105084,913298,Substantiated (Charges),,09/28/2003,No,,,,,,
200105122,880093,Substantiated (Charges),,07/28/2004,No,,,,,,Vacation: 2 days
200105122,884419,Substantiated (Charges),,07/28/2004,No,,,,,,
200105164,894906,Substantiated (Charges),,11/28/2004,No,,,,,,Vacation: 5 days
200105164,897276,Substantiated (Charges),,04/28/2004,No,,,,,,No penalty
200105189,914809,Substantiated (Charges),,,No,,,,,,
200105489,917897,Substantiated (Charges),,01/28/2005,No,,,,,,No penalty
200105724,895914,Substantiated (Charges),,03/28/2004,No,,,,,,Suspension: 45 days
200105845,905063,Substantiated (Charges),,,No,,,,,,
200105895,880701,Substantiated (Charges),,,No,,,,,,
200105956,864152,Substantiated (Charges),,04/28/2003,No,,,,,,
200105956,885759,Substantiated (Charges),,04/28/2003,No,,,,,,
200105956,886956,Substantiated (Charges),,04/28/2003,No,,,,,,
200106024,898076,Substantiated (Charges),,,No,,,,,,
200106046,910482,Substantiated (Charges),,04/28/2004,No,,,,,,No penalty
200106074,926049,Substantiated (Charges),,01/28/2003,No,,,,,,Instructions
200106083,909299,Substantiated (Charges),,10/28/2003,No,,,,,,Vacation: 20 days
200106105,891796,Substantiated (Charges),,04/28/2003,No,,,,,,Vacation: 20 days
200106134,921435,Substantiated (Charges),,12/28/2004,No,,,,,,No penalty
200106370,882551,Substantiated (Charges),,01/28/2003,No,,,,,,Instructions
200106370,909504,Substantiated (Charges),,01/28/2003,No,,,,,,Instructions
200106490,884840,Substantiated (Command Discipline),,01/28/2003,No,,,,,,Command Discipline - B
200106490,902657,Substantiated (Command Discipline),,01/28/2003,No,,,,,,Command Discipline - B
200106498,890605,Substantiated (Charges),,10/28/2003,No,,,,,,Vacation: 10 days
200106568,880060,Substantiated (Charges),,12/28/2004,No,,,,,,No penalty
